,index,neg,neu,pos,compound,Ticker
0,,0.07111820413889863,0.8528481234654508,0.07602560505085935,0.08940375306909856,2001/1
0,,0.07261357395056886,0.8502836406433896,0.07710160847391136,0.08676461357395057,2001/2
0,,0.07565400843881856,0.8521898734177215,0.07215928270042195,0.05202795358649788,2001/3
0,,0.07664516129032259,0.8482258064516128,0.07511385199240986,0.06039055028462998,2001/4
0,,0.07464567669172932,0.8514432957393484,0.07390914786967419,0.030799718045112785,2001/5
0,,0.07425204315135665,0.8570062111801243,0.06874599542334095,0.003602713305001633,2001/6
0,,0.0724965706447188,0.8526748971193414,0.07483847736625514,0.0521167695473251,2001/7
0,,0.07315640938456307,0.8547154029241754,0.0717837470248215,0.020350731043862626,2001/8
0,,0.11215422721268165,0.8168352047556141,0.07067371202113606,-0.24681535667107002,2001/9
0,,0.09938903394255874,0.827402959094865,0.07320278503046126,-0.16371952422396285,2001/10
0,,0.08813442822384428,0.8355769464720194,0.07629744525547445,-0.0640956204379562,2001/11
0,,0.08402620353443023,0.838322364411944,0.07763833028641072,-0.03639070688604509,2001/12
0,,0.08424034334763948,0.8448771871904919,0.07087652690656983,-0.055297788048861006,2002/1
0,,0.08397905181918412,0.8431804483645718,0.07282469680264608,-0.0673271591326718,2002/2
0,,0.08662053097345132,0.8383713274336283,0.07500106194690266,-0.051304566371681425,2002/3
0,,0.08468458884416331,0.8469309948246118,0.0683852788959172,-0.08677167912593445,2002/4
0,,0.08233289731850883,0.8439931327665141,0.07368378024852845,-0.053126716808371485,2002/5
0,,0.08761504424778761,0.8378110959836623,0.07457488087134105,-0.061457215793056505,2002/6
0,,0.0848273257809818,0.8400065224854102,0.07516134569172674,-0.016097047717130105,2002/7
0,,0.08107100175746924,0.8446695957820738,0.07424850615114237,-0.01967332161687171,2002/8
0,,0.08696383597029383,0.839048111075234,0.0740012915724895,-0.05007345818534065,2002/9
0,,0.08684049264043256,0.8367656954040253,0.07638690297386602,-0.04382559327125263,2002/10
